Proposal ID,Investigator1,Investigator2
GRT00028753,"Gupta, Jay A","Asthagiri, Aravind Rajappa"
GRT00028753,"Gupta, Jay A","Co, Anne"
GRT00028753,"Gupta, Jay A","Cole, David Robert"
GRT00028753,"Gupta, Jay A","Wegener, Duane Theodore"
GRT00028753,"Asthagiri, Aravind Rajappa","Co, Anne"
GRT00028753,"Asthagiri, Aravind Rajappa","Cole, David Robert"
GRT00028753,"Asthagiri, Aravind Rajappa","Wegener, Duane Theodore"
GRT00028753,"Co, Anne","Cole, David Robert"
GRT00028753,"Co, Anne","Wegener, Duane Theodore"
GRT00028753,"Cole, David Robert","Wegener, Duane Theodore"
GRT00028755,"Buettner, Cynthia","Meeker, Kathleen Artman"
GRT00028758,"Strayhorn, Terrell Lamont","Anthony, Anika Sangai"
GRT00028759,"Ding, Lin","Heckler, Andrew Frank"
GRT00028760,"Gilor, Chen","Adin, Christopher Andrew"
GRT00028761,"Gilor, Chen","Buffington, Charles Anthony"
GRT00028761,"Gilor, Chen","Pressler, Barrak Michael"
GRT00028761,"Buffington, Charles Anthony","Pressler, Barrak Michael"
GRT00028763,"Aarnes, Turi Kenna","Bednarski, Richard Michael"
GRT00028763,"Aarnes, Turi Kenna","Hubbell, John Allan Edgar"
GRT00028763,"Aarnes, Turi Kenna","Lerche, Phillip"
GRT00028763,"Bednarski, Richard Michael","Hubbell, John Allan Edgar"
GRT00028763,"Bednarski, Richard Michael","Lerche, Phillip"
GRT00028763,"Hubbell, John Allan Edgar","Lerche, Phillip"
GRT00028764,"Waldman, W James","Dutta, Prabir Kumar"
GRT00028767,"Kaumaya, Pravin T P","Hansford, Derek J"
GRT00028773,"Sood, Namita","Franco, Veronica"
GRT00028776,"Roberts, Matthew Christopher","Ward, Barry Wallace"
GRT00028777,"Sohngen, Brent Laboiteaux","Bruskotter, Jeremy Tyler"
GRT00028778,"Parvin, Jeffrey","Freitas, Michael Alan"
GRT00028778,"Parvin, Jeffrey","Huang, Kun"
GRT00028778,"Freitas, Michael Alan","Huang, Kun"
GRT00028781,"Buffington, Charles Anthony","Rodriguez-Saona, Luis Enrique"
GRT00028782,"Ranbom, Lorin D","Sahr, Timothy Richard"
GRT00028783,"Ranbom, Lorin D","Sahr, Timothy Richard"
GRT00028787,"Khramtsov, Valery V","Ahmad, Rizwan"
GRT00028787,"Khramtsov, Valery V","Eubank, Tim"
GRT00028787,"Khramtsov, Valery V","Samouilov, Alexandre"
GRT00028787,"Ahmad, Rizwan","Eubank, Tim"
