Proposal ID,Name,PI
GRT00029025,"Fontanella, Cynthia A.",1
GRT00029027,"Lerner, Mitchell B",1
GRT00029028,"Rizzoni, Giorgio",1
GRT00029029,"Guezennec, Yann Guillaume",1
GRT00029030,"Kissel, John Thomas",1
GRT00029031,"Racke, Michael Karl",1
GRT00029032,"Kissel, John Thomas",1
GRT00029033,"Loibl, Caezilia",1
GRT00029034,"Kolb, Stephen J",1
GRT00029035,"Sutton, Jeffrey A.",1
GRT00029036,"Chen, Chi-Chih",1
GRT00029037,"Chen, Chi-Chih",1
GRT00029038,"Gupta, Inder Jeet",1
GRT00029040,"Sneller, Clay Hurd",1
GRT00029041,"Byrd, John C",1
GRT00029042,"Anderson, Clark Lawrence",1
GRT00029043,"Lill, Nancy Louise",1
GRT00029044,"Obrietan, Karl H",1
GRT00029045,"Boslett, James Joseph",1
GRT00029046,"Hickman-Davis, Judy Marie",1
GRT00029047,"Oaks, D'Arcy J",1
GRT00029048,"Babu, Sudarsanam Suresh",1
GRT00029049,"Marketon, Jeanette I",1
GRT00029050,"Reiser, Peter Jacob",1
GRT00029051,"Chen, Ching-Shih",1
GRT00029052,"Rovin, Brad Harris",1
GRT00029053,"Wu, Lai Chu",1
GRT00029054,"Schoenberg, Daniel Robert",1
GRT00029055,"Strayhorn, Terrell Lamont",1
GRT00029056,"Rajan, Siddharth",1
GRT00029057,"Sloutsky, Vladimir Michailovich",1
GRT00029058,"Crews, Douglas E",1
GRT00029059,"Neblo, Michael A.",1
GRT00029060,"McGraw, William Scott",1
GRT00029061,"De Boeck, Paulus",1
GRT00029062,"Comita, Liza Sheera",1
GRT00029063,"Bauer, James Edward",1
GRT00029064,"VanNasdale, Dean Allan",1
GRT00029065,"Nasser, Mohd",1
GRT00029066,"Leys, Eugene James",1
GRT00029067,"Ganju, Ramesh",1
GRT00029068,"Hollway, Jill Ann",1
GRT00029070,"Arnold, L Eugene",1
GRT00029071,"Carnes, Cynthia Ann",1
GRT00029072,"Jin, Victor X",1
GRT00029073,"Rajagopalan, Sanjay",1
GRT00029074,"Sood, Namita",1
GRT00029075,"Simonetti, Orlando Paul",1
GRT00029076,"Heerema, Nyla A.",1
GRT00029077,"Wesolowski, Robert",1
GRT00029078,"Olsen, Randall Jay",1
GRT00029079,"Wilson, Terry Jean",1
GRT00029080,"Polyak, Leonid",1
GRT00029082,"McCulloch, J Huston",1
GRT00029083,"Lester, Joanne L",1
GRT00029084,"Redmill, Keith Alan",1
GRT00029085,"Blue, Thomas Elder",1
GRT00029086,"Seiber, Eric",1
GRT00029087,"Ranbom, Lorin D",1
GRT00029088,"Babu, Sudarsanam Suresh",1
GRT00029089,"Babu, Sudarsanam Suresh",1
GRT00029090,"Alexandrov, Boian Todorov",1
GRT00029091,"De Lucia, Frank Charles",1
GRT00029092,"De Lucia, Frank Charles",1
GRT00029093,"Bao, Lei",1
GRT00029094,"Freeman, Richard R.",1
GRT00029095,"Seveau, Stephanie Marthe Marie",1
GRT00029096,"Jepsen, Shelly Dee D",1
GRT00029097,"Birkenholz, Robert James",1
GRT00029098,"Faerman, Marcio",1
GRT00029099,"Lobao, Linda Mary",1
GRT00029100,"Calyam, Anjaneyaprasad P",1
GRT00029101,"Lucente, Joseph E",1
GRT00029102,"Brown, Larry Curtis",1
GRT00029103,"Winslow, Christopher J",1
GRT00029104,"Mancl, Karen Marie",1
GRT00029105,"Michel, Andrew P.",1
GRT00029106,"Slesnick, Natasha",1
GRT00029107,"Arnold, William David",1
GRT00029108,"Niblack, Terry Lee",1
GRT00029109,"Cornish, Katrina",1
