Name,Last Name,First Name,Byrd,SI - Climate,Flagged - Climate + Energy,Operating Unit,Title,Flagged - Other,Award ID,Award Title,Awd PI,Co-I,Department Prop,Awd Dept,Award Alloc,College,Sponsor Name Prop,Fed/Non,Awd Spnsr,Awd Spnsr Level,Awd Spnsr Type,Prime Spnsr,Prime Spnsr Level,Prime Spnsr Type,Total Amt,Start Date,End Date,Discovery Theme,Award FY,Award Type,Reference,Ref Awd Num,CFDA
"Martin, Jay",Martin,Jay,,,No,FABE,,,GRT00042194,NPDES stormwater and Clintonville blueprint monitoring project,"Martin,Jay Franklin","Brooks, Jeremy S; Irwin, Elena ; Lee, Jiyoung",Food Science & Technology,"Food, Agr & Biological Eng",6.00,"College of Food, Ag & Environ",City of Columbus,Non,City of Columbus,OTHR,GOVT,,,,"1,082,116.00",03/03/2016,12/31/2022,Disc Theme- Energy Environ,2016,CON,Agreement dated 03/03/2016,Agreement dated 03/03/2016,
"Martin, Jay",Martin,Jay,,,No,FABE,,,GRT00043321,(Johnathon Sheets Fellowship) Development of an Integrated Technology for Biological Conversion of Biogas from Landfills and Anaerobic Digestion to Liquid Fuels,"Martin,Jay Franklin",,"OARDC Food, Ag & Bio Engr","OARDC Food, Ag & Bio Engr",100.00,Ohio Agric Research & Dev Ctr,Environmental Protection Agency,Fed,Environmental Protection Agency,FED,EPA,,,,"51,000.00",05/04/2016,08/31/2018,Disc Theme- Energy Environ,2016,GR,91778801-0,91778801-0,66.514
"Martin, Jay",Martin,Jay,,,No,FABE,,,GRT00048034,Evaluating water quality impacts of runoff risk advisory forecast (RRAF),"Martin,Jay Franklin","Kalcic, Margaret M","OSUE-Food, Agr & Bio Engr","Food, Agr & Biological Eng",1.00,"College of Food, Ag & Environ",Univ of Michigan,Non,Univ of Michigan,OTHR,COLL,Nat Oceanic & Atmospheric Admin,FED,DOC,"254,652.00",05/01/2018,05/31/2020,Disc Theme- Energy Environ,2018,CP,3004715115,3004715115,11.432
"Martin, Jay",Martin,Jay,,,No,FABE,,,GRT00051496,Developing public-private partnerships (PPPs) to target legacy phosphorus fields to increase water quality and availability,"Martin,Jay Franklin","Julian, David A; Kalcic, Margaret M; Labarge, Gregory Allen; Roe, Brian Eric; Wilson, Robyn Suzanne; Winston, Ryan J","Agric, Evrnml & Dev Econ","Food, Agr & Biological Eng",4.00,"College of Food, Ag & Environ",National Institute of Food & Agriculture,Fed,National Institute of Food & Agriculture,FED,USDA,,,,"4,999,930.00",08/15/2018,08/14/2023,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec,2019,GR,2.0186801128e+13,20186801128370,10.310
"Martin, Jay",Martin,Jay,,,No,FABE,,,GRT00052089,Impacts of green infrastructure on the microbiome of urban stormwater: Reducing threats to public health,"Martin,Jay Franklin","Lee, Jiyoung ; Winston, Ryan J",Food Science & Technology,"Food, Agr & Biological Eng",10.00,"College of Food, Ag & Environ","NSF Div Chem, Bioeng, Environ, & Trnsp S",Fed,"NSF Div Chem, Bioeng, Environ, & Trnsp S",FED,NSF,,,,"298,077.00",09/01/2018,08/31/2020,Disc Theme- Energy Environ,2019,GR,180547,1805047,47.041
"Martin, Jay",Martin,Jay,,,No,FABE,,,GRT00054955,"The Cooperative Institute for Great Lakes Research (CIGLR): A proposal to the Office of Oceanic and Atmospheric Research, NOAA, for a new Regional Research Institute","Martin,Jay Franklin","Kalcic, Margaret M; Murumkar, Asmita","Food, Agr & Biological Eng","Food, Agr & Biological Eng",100.00,"College of Food, Ag & Environ",Univ of Michigan,Non,Univ of Michigan,OTHR,COLL,Nat Oceanic & Atmospheric Admin,FED,DOC,"69,485.00",06/01/2019,05/31/2020,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec,2019,CP,SUBK00011194,SUBK00011194,11.432
"Martin, Kenneth",Martin,Kenneth,,Yes,Flag,,,Flag,GRT00046529,Community assessment and education to promote behavioral health planning and evaluation - Phase II,"Martin,Kenneth E",,OSUE Administration,OSUE Administration,100.00,OSU Extension,Michigan State Univ,Non,Michigan State Univ,OTHR,COLL,National Institute of Food & Agriculture,FED,USDA,"42,299.00",02/01/2017,08/31/2017,Disc Theme- None Selected,2017,GR,RC103176BL,RC103176BL,10.500
"Martin, Kenneth",Martin,Kenneth,,Yes,Flag,,,Flag,GRT00052814,Preventing opioid misuse and abuse in rural Ohio through enhanced family and community education and training,"Martin,Kenneth E","Betz, Michael Ryan; Brinkman, Patricia ; Pekny, Chelsea R; West, Travis William",Pharmacy Practice & Science,OSUE Administration,2.00,OSU Extension,National Institute of Food & Agriculture,Fed,National Institute of Food & Agriculture,FED,USDA,,,,"320,152.00",09/01/2018,08/31/2020,Disc Theme- Health Wellness,2019,GR,2.0184610029e+13,20184610028783,10.500
"Martin, Kenneth",Martin,Kenneth,,Yes,Flag,,,Flag,GRT00055208,Substance misuse and abuse: Rural Ohio communities respond,"Martin,Kenneth E",,OSUE Administration,OSUE Administration,100.00,OSU Extension,OH Dept of Health,Non,OH Dept of Health,OHIO,OHIO,Health Resources & Services Admin,FED,HRSA,"8,000.00",02/15/2019,06/30/2019,Disc Theme- Health Wellness,2019,GR,32523,32523,93.913
"Matthews, Stephen",Matthews,Stephen,,Yes,No,,,,GRT00039433,"Assistant professor, Ohio State University School of Environment and Natural Resources - joint appointment","Matthews,Stephen Nicholas",,Sch of Environ & Natural Res,Sch of Environ & Natural Res,100.00,"College of Food, Ag & Environ",USDA Forest Service,Fed,USDA Forest Service,FED,USDA,,,,"245,657.00",05/28/2015,05/15/2020,Disc Theme- Energy Environ,2015,CP,15-JV-11242302-042,15-JV-11242302-042,n/a
